TIME,F21       ,V21       ,DP21      ,SGEN21    ,A21       
SECONDS,KG/S,M/S,kPa,KJ/K-S,M^2
0.248000E+02,0.731446E-02,0.310528E+03,0.505101E+03,0.000000E+00,0.506451E-05
0.249000E+02,0.731130E-02,0.310503E+03,0.504791E+03,0.000000E+00,0.506451E-05
0.250000E+02,0.730815E-02,0.310478E+03,0.504481E+03,0.000000E+00,0.506451E-05
0.251000E+02,0.730499E-02,0.310453E+03,0.504171E+03,0.000000E+00,0.506451E-05
0.252000E+02,0.730184E-02,0.310428E+03,0.503861E+03,0.000000E+00,0.506451E-05
0.253000E+02,0.729868E-02,0.310403E+03,0.503551E+03,0.000000E+00,0.506451E-05
0.254000E+02,0.729553E-02,0.310379E+03,0.503241E+03,0.000000E+00,0.506451E-05
0.255000E+02,0.729238E-02,0.310354E+03,0.502932E+03,0.000000E+00,0.506451E-05
0.256000E+02,0.728923E-02,0.310329E+03,0.502623E+03,0.000000E+00,0.506451E-05
0.257000E+02,0.728609E-02,0.310304E+03,0.502314E+03,0.000000E+00,0.506451E-05
0.258000E+02,0.728294E-02,0.310279E+03,0.502005E+03,0.000000E+00,0.506451E-05
0.259000E+02,0.727980E-02,0.310255E+03,0.501697E+03,0.000000E+00,0.506451E-05
0.260000E+02,0.727666E-02,0.310230E+03,0.501388E+03,0.000000E+00,0.506451E-05
0.261000E+02,0.727352E-02,0.310205E+03,0.501080E+03,0.000000E+00,0.506451E-05
0.262000E+02,0.727038E-02,0.310180E+03,0.500772E+03,0.000000E+00,0.506451E-05
0.263000E+02,0.726724E-02,0.310155E+03,0.500464E+03,0.000000E+00,0.506451E-05
0.264000E+02,0.726411E-02,0.310131E+03,0.500156E+03,0.000000E+00,0.506451E-05
0.265000E+02,0.726097E-02,0.310106E+03,0.499849E+03,0.000000E+00,0.506451E-05
0.266000E+02,0.725784E-02,0.310081E+03,0.499542E+03,0.000000E+00,0.506451E-05
0.267000E+02,0.725471E-02,0.310056E+03,0.499234E+03,0.000000E+00,0.506451E-05
0.268000E+02,0.725158E-02,0.310031E+03,0.498927E+03,0.000000E+00,0.506451E-05
0.269000E+02,0.724846E-02,0.310007E+03,0.498621E+03,0.000000E+00,0.506451E-05
0.270000E+02,0.724533E-02,0.309982E+03,0.498314E+03,0.000000E+00,0.506451E-05
0.271000E+02,0.724221E-02,0.309957E+03,0.498008E+03,0.000000E+00,0.506451E-05
0.272000E+02,0.723908E-02,0.309932E+03,0.497701E+03,0.000000E+00,0.506451E-05
0.273000E+02,0.723596E-02,0.309908E+03,0.497395E+03,0.000000E+00,0.506451E-05
0.274000E+02,0.723284E-02,0.309883E+03,0.497089E+03,0.000000E+00,0.506451E-05
